empresa,status_hoje,criado,valor,grupo,chave_match,kommo_lead_match,destino_proposto,motivo_perda,escreve,observacao
"GAM",follow_longo,2025-04-17,4500,outro pipeline,"(já vinculado)",7235868,perdido,"devolvido a outro pipeline: Nutrição",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"JIB RENTAL",follow_longo,2026-06-19,4000,outro pipeline,"(já vinculado)",24227265,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Drex Cred",follow_longo,2026-06-02,4000,outro pipeline,"(já vinculado)",23894377,perdido,"devolvido a outro pipeline: Nutrição",sim,"gravar lead_id e espelhar etapa do Kommo"
"Videosoft Soluções em Autoatendimento",follow_longo,2026-05-22,3500,outro pipeline,"(já vinculado)",23374091,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"UniCesumar",follow_longo,2026-05-14,0,outro pipeline,"(já vinculado)",23394063,perdido,"devolvido a outro pipeline: Nutrição",sim,"gravar lead_id e espelhar etapa do Kommo"
"Mega piso industrial",follow_longo,2026-06-15,0,outro pipeline,"(já vinculado)",23782143,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Allp Fit Academia",negociacao,2026-05-19,0,outro pipeline,"(já vinculado)",23266177,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Urban Market",follow_longo,2026-05-27,0,outro pipeline,"(já vinculado)",23253067,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Egtech Soluções Em Telecomunicações",follow_longo,2026-06-24,0,outro pipeline,"(já vinculado)",23924355,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Della & Delle",negociacao,2026-07-02,0,outro pipeline,"(já vinculado)",24403321,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Mimar lingerie",negociacao,2026-06-08,0,outro pipeline,"(já vinculado)",23973049,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"BWA Global",follow_longo,2025-05-28,0,outro pipeline,"(já vinculado)",9725230,perdido,"devolvido a outro pipeline: Pre Vendas",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Grupo requinte",negociacao,2026-07-21,0,outro pipeline,"(já vinculado)",24696837,perdido,"devolvido a outro pipeline: Pre Vendas",sim,"gravar lead_id e espelhar etapa do Kommo"
"Thg logogistica comercio e repsentacoes e srmszan",follow_longo,2026-04-28,0,outro pipeline,"(já vinculado)",22523271,perdido,"devolvido a outro pipeline: Outbound Disparo",sim,"gravar lead_id e espelhar etapa do Kommo"
"Kaza",follow_longo,2025-07-10,60000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Baraozinho",negociacao,2026-07-16,60000,sem lead no Kommo,"telefone (forte)",21693625,alta_prioridade,"",sim,"gravar lead_id e espelhar etapa do Kommo"
"ATS System",follow_longo,2026-03-23,51233,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Escave Engenharia",follow_longo,2026-02-18,49800,sem lead no Kommo,"nome empresa (FRACO)",20365312,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Biothak Biotecnologia Ltda",follow_longo,2026-03-06,49200,sem lead no Kommo,"nome empresa (FRACO)",21337295,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Sun Chemical ",follow_longo,2026-03-12,46040,sem lead no Kommo,"nome empresa (FRACO)",21703139,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Ideal Iluminação",follow_longo,2026-01-20,41500,sem lead no Kommo,"nome empresa (FRACO)",20226814,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Clinica do Olhar",negociacao,2026-07-24,39600,sem lead no Kommo,"telefone (forte)",24809887,alta_prioridade,"",sim,"gravar lead_id e espelhar etapa do Kommo"
"Eurolatte",follow_longo,2026-02-03,38000,sem lead no Kommo,"nome empresa (FRACO)",20654398,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Principia",follow_longo,2025-08-04,35500,sem lead no Kommo,"nome empresa (FRACO)",14352370,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Drogaria Diferente",follow_longo,2026-03-30,35418,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Hortron",follow_longo,2025-08-27,34700,sem lead no Kommo,"nome empresa (FRACO)",15141504,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Zaplub",follow_longo,2026-02-24,34000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"GAM",follow_longo,2026-02-20,34000,sem lead no Kommo,"nome empresa (FRACO)",7235868,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Grand Ocean Boats",negociacao,2026-01-23,33092,sem lead no Kommo,"nome empresa (FRACO)",19784197,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Clinica Maira Scapolan",negociacao,2025-12-10,32424,sem lead no Kommo,"nome empresa (FRACO)",18405796,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Luffe industrial de CARREGADORES de baterias",negociacao,2026-01-16,32118,sem lead no Kommo,"nome empresa (FRACO)",19780431,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Eaê Brasil",negociacao,2026-02-03,32057,sem lead no Kommo,"nome empresa (FRACO)",20845246,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Abso Contabilidade",follow_longo,2026-01-13,31662,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Excellence Transportes e Logística",follow_longo,2025-08-22,31200,sem lead no Kommo,"nome empresa (FRACO)",15141444,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Lumina",follow_longo,2026-03-16,30000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Mobicom",follow_longo,2026-03-23,29800,sem lead no Kommo,"nome empresa (FRACO)",22218878,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Biotec",negociacao,2025-09-23,29500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Durak",follow_longo,2025-12-15,27735,sem lead no Kommo,"nome empresa (FRACO)",18889378,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Profil",follow_longo,2025-12-22,27735,sem lead no Kommo,"nome empresa (FRACO)",18182988,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Concept House esquadrias de pvc",follow_longo,2026-01-16,27735,sem lead no Kommo,"nome empresa (FRACO)",18405722,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Meppel Distribuidora",negociacao,2025-12-02,27735,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Diproseg",follow_longo,2025-12-04,27735,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Maranhão Atacadista",follow_longo,2025-12-12,27735,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Eliel Figueiredo diagnósticos",negociacao,2026-01-21,27735,sem lead no Kommo,"nome empresa (FRACO)",19915071,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Mg Cinto",negociacao,2026-02-10,27050,sem lead no Kommo,"nome empresa (FRACO)",20517450,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Grupo Baterias.SP",follow_longo,2026-01-20,26095,sem lead no Kommo,"nome empresa (FRACO)",18405636,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Escola Blue Star",follow_longo,2026-03-16,25290,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Transmisservice",negociacao,2025-11-13,25000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Skyfit",follow_longo,2026-05-19,25000,sem lead no Kommo,"telefone (forte)",22080061,FILA MANUAL,"",sim,"gravar lead_id e espelhar etapa do Kommo"
"Seu Boné",follow_longo,2025-04-03,25000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Aisphere",follow_longo,2025-03-07,25000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Rede Nacional Oticas",follow_longo,2026-01-27,25000,sem lead no Kommo,"nome empresa (FRACO)",7233498,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"DAITAN",follow_longo,2025-03-17,25000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Rei dos Motores",negociacao,2025-11-11,25000,sem lead no Kommo,"nome empresa (FRACO)",17814730,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Yamá",follow_longo,2025-07-22,25000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Forbal",negociacao,2026-01-14,24500,sem lead no Kommo,"nome empresa (FRACO)",19985499,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Henneberg - Industria",follow_longo,2025-12-03,24068,sem lead no Kommo,"nome empresa (FRACO)",18662854,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Audens Edu",follow_longo,2026-02-26,23500,sem lead no Kommo,"nome empresa (FRACO)",21348139,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Ecomov",negociacao,2025-11-11,23357,sem lead no Kommo,"nome empresa (FRACO)",7234280,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Hosptel",follow_longo,2025-09-26,23000,sem lead no Kommo,"nome empresa (FRACO)",16348394,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Syndex",follow_longo,2025-08-15,23000,sem lead no Kommo,"nome empresa (FRACO)",7234874,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Copiadora Exata",negociacao,2025-11-12,23000,sem lead no Kommo,"nome empresa (FRACO)",17833424,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Açougue WF",negociacao,2026-01-14,22600,sem lead no Kommo,"nome empresa (FRACO)",19987209,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Casa mix",negociacao,2026-02-20,22500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Izauto auto peças",follow_longo,2025-12-17,22189,sem lead no Kommo,"nome empresa (FRACO)",18889408,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Autovex",negociacao,2025-08-13,22000,sem lead no Kommo,"nome empresa (FRACO)",14821490,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Way Design",follow_longo,2026-03-19,21200,sem lead no Kommo,"nome empresa (FRACO)",22091101,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Divexa Equipamentos",follow_longo,2025-12-03,21139,sem lead no Kommo,"nome empresa (FRACO)",18694052,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Ecoboxes",negociacao,2025-10-24,20000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Marcos Autopeças",follow_longo,2026-04-17,19700,sem lead no Kommo,"nome empresa (FRACO)",22266087,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Kimassa",negociacao,2025-10-31,19500,sem lead no Kommo,"nome empresa (FRACO)",17587922,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Plaschem",follow_longo,2025-07-21,19500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Peca pra ja auto peças",follow_longo,2026-01-12,19397,sem lead no Kommo,"nome empresa (FRACO)",19900713,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Sottiles",follow_longo,2026-02-19,19093,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Votoplast",negociacao,2025-09-10,18000,sem lead no Kommo,"nome empresa (FRACO)",15783004,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Maxx Gesso",follow_longo,2026-05-07,18000,sem lead no Kommo,"telefone (forte)",21703073,FILA MANUAL,"",sim,"gravar lead_id e espelhar etapa do Kommo"
"Plano Projetos",follow_longo,2026-06-29,18000,sem lead no Kommo,"nome empresa (FRACO)",24356465,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Manit show",follow_longo,2026-01-16,18000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Posse do corpo",follow_longo,2025-12-01,18000,sem lead no Kommo,"nome empresa (FRACO)",7229680,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"HidroJet",negociacao,2025-11-03,18000,sem lead no Kommo,"nome empresa (FRACO)",17273804,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"MTR7",follow_longo,2025-11-03,18000,sem lead no Kommo,"nome empresa (FRACO)",17619424,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Apriori Imoveis",follow_longo,2025-10-17,18000,sem lead no Kommo,"nome empresa (FRACO)",16961744,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Mega Vale Leiloes",follow_longo,2025-06-09,18000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Keke Empreendimentos",follow_longo,2025-08-21,17964,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"BCN Global",negociacao,2025-11-11,17700,sem lead no Kommo,"nome empresa (FRACO)",17964830,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Kidelicia",follow_longo,2025-06-17,17000,sem lead no Kommo,"nome empresa (FRACO)",7236746,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Universo EPIs",negociacao,2025-11-12,17000,sem lead no Kommo,"nome empresa (FRACO)",17968978,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Provale",negociacao,2026-01-21,16500,sem lead no Kommo,"nome empresa (FRACO)",8108494,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Marv",negociacao,2025-09-24,16500,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"X Gold",follow_longo,2026-02-09,16337,sem lead no Kommo,"nome empresa (FRACO)",7233702,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Provale",follow_longo,2024-10-28,16000,sem lead no Kommo,"nome empresa (FRACO)",8108494,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Viva Construções",follow_longo,2024-09-13,16000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Molyplast",follow_longo,2025-09-04,16000,sem lead no Kommo,"nome empresa (FRACO)",15672208,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Molyplast",follow_longo,2025-10-28,15500,sem lead no Kommo,"nome empresa (FRACO)",15672208,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"FA Urbanizadora",negociacao,2026-04-16,15184,sem lead no Kommo,"cnpj (forte)",22757723,FILA MANUAL,"",sim,"gravar lead_id e espelhar etapa do Kommo"
"Sittec",follow_longo,2026-02-19,15174,sem lead no Kommo,"nome empresa (FRACO)",14037930,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Só Pesados",follow_longo,2025-10-01,15000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Elmo Engenharia",follow_longo,2025-05-12,15000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Vecosul",follow_longo,2025-07-18,15000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"O Contador do Investidor LTDA",negociacao,2026-06-22,15000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"High Color Pinturas Especiais Ltda",negociacao,2025-10-23,15000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Vemplast",follow_longo,2026-01-27,14000,sem lead no Kommo,"nome empresa (FRACO)",20507412,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Synergy Impex",follow_longo,2025-11-14,14000,sem lead no Kommo,"nome empresa (FRACO)",16575490,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Casas & Casas",follow_longo,2025-11-28,12000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Nova Quali",follow_longo,2025-09-26,12000,sem lead no Kommo,"nome empresa (FRACO)",16186188,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Metax",follow_longo,2025-10-24,12000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Madeirense",follow_longo,2025-11-26,12000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Central Point",follow_longo,2025-09-05,12000,sem lead no Kommo,"nome empresa (FRACO)",7235578,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Andaimes Metax",follow_longo,2025-02-11,12000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Curadoria Ana Yajima",follow_longo,2026-03-27,10217,sem lead no Kommo,"nome empresa (FRACO)",22289583,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Abuso Verbal",follow_longo,2025-10-22,10200,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"Lavinha Lavanderia",follow_longo,2025-10-24,10000,sem lead no Kommo,"nome empresa (FRACO)",7234876,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"H Santos",follow_longo,2025-04-30,9500,sem lead no Kommo,"nome empresa (FRACO)",7236466,FILA MANUAL,"",nao,"FILA MANUAL — casou só por nome, confirmar antes de gravar"
"Fernanda - Parceria",follow_longo,2025-06-30,9000,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
"UVA",follow_longo,2025-01-15,8600,sem lead no Kommo,"sem match",,perdido,"sem vínculo",sim,""
